Tank,Treatment,Chamber,Plug,Starting Larvae,Day,Total,Aggregate,Individual,Notes
Tank2,Cold,C16,560,100,5,1,0,1,top
Tank2,Cold,C16,671,100,5,6,0,6,top; 1 larvae
Tank3,Cold,C17,357,100,3,1,0,1,top
Tank3,Cold,C17,796,100,3,1,0,1,1 side of top
Tank3,Cold,C17,1135,100,3,0,0,0,
Tank3,Cold,C18,442,100,3,1,0,1,top; worm
Tank3,Cold,C18,679,100,3,0,0,0,
Tank3,Cold,C18,843,100,3,2,0,2,"1 bottom, 1 top side"
Tank3,Cold,C19,404,100,3,1,0,1,underside of top
Tank3,Cold,C19,1059,100,3,5,2,3,"top, 2 unsettled "
Tank3,Cold,C19,1182,100,3,1,0,1,"top, 1 unbleached"
Tank3,Cold,C20,484,100,3,1,0,1,side 
Tank3,Cold,C20,886,100,3,5,0,5,top; 1 unsettled 
Tank3,Cold,C20,1179,100,3,0,0,0,
Tank3,Cold,C21,242,100,5,0,0,0,
Tank3,Cold,C21,542,100,5,3,0,3,top
Tank3,Cold,C21,578,100,5,2,0,2,"1 bottom, 1 top"
Tank3,Cold,C22,967,100,5,4,0,4,3 top; 1 unsettled larvae 
Tank3,Cold,C22,983,100,5,3,0,3,1 side; 2 top 
Tank3,Cold,C22,1142,100,5,1,0,1,top
Tank3,Cold,C23,517,100,5,1,0,1,top
Tank3,Cold,C23,831,100,5,11,4,7,top
Tank3,Cold,C23,1183,100,5,7,0,7,top
Tank3,Cold,C24,226,100,5,1,0,1,top
Tank3,Cold,C24,453,100,5,1,0,1,top; not looking good
Tank3,Cold,C24,615A,100,5,1,0,1,top
Tank4,Cold,C25,344,100,3,6,0,6,top
Tank4,Cold,C25,1117,100,3,0,0,0,
Tank4,Cold,C25,1138,100,3,0,0,0,
Tank4,Cold,C26,579,100,3,1,0,1,top
Tank4,Cold,C26,592,100,3,0,0,0,
Tank4,Cold,C26,1133,100,3,0,0,0,
Tank4,Cold,C27,515,100,3,2,0,2,top
Tank4,Cold,C27,804,100,3,1,0,1,top
Tank4,Cold,C27,879,100,3,0,0,0,
Tank4,Cold,C28,548,100,3,0,0,0,
Tank4,Cold,C28,873B,100,3,2,0,2,top
Tank4,Cold,C28,1176,100,3,4,0,4,top
Tank4,Cold,C29,360,100,5,3,0,3,top
Tank4,Cold,C29,584B,100,5,4,0,4,top
Tank4,Cold,C29,645,100,5,2,0,2,top
Tank4,Cold,C30,516B,100,5,3,0,3,top
Tank4,Cold,C30,615B,100,5,1,0,1,top
Tank4,Cold,C30,641,100,5,2,0,2,top
Tank4,Cold,C31,299,100,5,1,0,1,top
